id,clean_text,sentimen
424,selenggara negara pikir situ ijazah pikir maju kota ikn untung negara pinjam ribu untung kali lipat kali lipat kali lipat tunggu presisi untung,positif
425,ketiban oke alas biar pindah ikn salah master kemarin mutasi,negatif
426,bangun ikn nusantara maju indonesia,positif
427,bangun ikn nusantara maju indonesia,positif
428,bangun ikn nusantara maju indonesia,positif
429,bangun ikn nusantara maju indonesia,positif
430,bangun ikn nusantara maju indonesia,positif
431,bangun ikn nusantara maju indonesia,positif
432,info peluang mutasi galau pindah ikn emang bet orang mutasi jabar salah ketat eksklusif bawa,negatif
433,konglomerat investasi ikn,negatif
434,makna filosofi logo ikn,negatif
435,investor investasi ikn nusantara,negatif
436,alokasi prioritas bangun ikn nusantara tahap,negatif
437,pilih renovasi sekolah bangun ikn,negatif
438,garis solo forum tanding poin dukung lanjut ikn,positif
439,efek kena kurung ikn,negatif
440,transit nilai gagal operasi otonom imbas kereta rel ikn kembali,negatif
441,transit nilai gagal operasi otonom imbas kereta rel ikn kembali,negatif
442,ikn lele asa,negatif
443,ikn jadi terna kalajengking hasil jual racun kalajengking dana bangun ikn komentar tuju,negatif
444,ikn sarang prostitusi satu polisi pamong praja kabupaten najam paser utara praktik kian marak kawasan kota nusantara ikn,negatif
445,sosok tunggu raja ikn,negatif
446,prostitusi ikn loh,negatif
447,kereta rel ikn kembali kota nusantara ikn lapor unit kereta rel transit kembali mudik,negatif
448,bangun ikn triliun renovasi sekolah,negatif
449,wujud jilat banteng anak serta suami dungu wujud ikn,negatif
450,beres henti bangun ikn,negatif
451,ikn nusantara tarik investor partisipasi garap proyek bangun kota negara,negatif
452,harga patung ikn gin,negatif
453,bayar koh ikn,negatif
454,dukung makzul konstitusional bikin tabu poin fokus sisa bagus stop ikn cabut masalah negara kuasa tambang,positif
455,berkah ikn pasok bayar pasok barang cerita usaha cat pilih pasok cat ikn takut bayar ikn potret bukti kuasa nama,positif
456,selamat purnawaktu ikn moga loncat,negatif
457,ikn nusantara wujud impi indonesia negara maju mari dukung bangun ikn nusantara cipta indonesia,positif
458,emang muncul muka kuasa pakai logika etika sama pakai logika bangun ikn biaya,negatif
459,hutang tolak mobil uang investor over ikn dolar bawah ekonomi roket kuasa rangkap jabat anak tarik politik politik capek mulut doang,negatif
460,ikn genjot kapasitas profesionalisme kelola dana asing,negatif
461,ikn genjot kapasitas profesionalisme kelola dana asing,negatif
462,ikn genjot kapasitas profesionalisme kelola dana asing,negatif
463,titik nol ikn tugu geografis simbol adab,negatif
464,insan media bela mati rezim total dukung manipulasi tipu rampok uang rakyat ikn pura buta tuli sadar terima peran bumerang,positif
465,proyektor guna murah ikn dikit didik ujung jalan gada duit mending proyektor murah ajar interaktif,negatif
466,maaf informasi biaya sewa hari kereta ikn sedia publik biaya sewa rahasia janji tinggi biaya sewa salah alas,negatif
467,biar anjing gonggong kafilah bangun,negatif
468,salah om mobil properti ikn,negatif
469,kereta rel ikn kembali proyek bohong tampar,negatif
470,bapak properti ikn anak aplikasi,negatif
471,bela gin bohong contoh ikn investor bohong produksi unit bohong,negatif
472,sosok huni ikn,negatif
473,nafas tenggorok jujur orang ikn sein kanan belok kiri percaya otak somplak,negatif
474,bangun ikn tolol,negatif
475,usaha ikn uji coba barangkali ikn beli kelak kalo dasar evaluasi nilai optimal terbang tawar uji coba ikn tuju menteri takut celaka,positif
476,jaka ganti ikn luas tanah,negatif
477,ikn nusantara kota administratif representasi visi indonesia bangun kota selaras alam,negatif
478,bangun konsep teknologi hijau ikn contoh kota jaga alam dukung hidup lanjut,positif
479,ikn buka ribu peluang kerja daya tenaga lokal gerak ekonomi daerah konstruksi teknologi sempat emas generasi bangsa,negatif
480,bangun ikn langkah konkret wujud indonesia perata ekonomi akses infrastruktur pusat daerah gerak,negatif
481,ikn nusantara pindah kota simbol transformasi indonesia negara maju kota rancang ramah lingkung cerdas lanjut wujud nyata indonesia,positif
482,buang dan ikn koar angin surga rel,negatif
483,harga lonjak potensi pulih sinyal sumber ikn pos bagi aplikasi,negatif
484,ikn asa negeri,negatif
485,bahas gaung ikn lanjut simpang siur ajang kampanye kasi orang orang emang,negatif
486,internasional catat sejarah laman sumber ikn pos bagi aplikasi,negatif
487,bongkar transaksi sumber ikn pos bagi aplikasi,negatif
488,belah ubah rakyat belah ikn hutang ekonomi roket,negatif
489,kereta rel ikn kembali hak milik,negatif
490,kereta masalah ikn terus,negatif
491,putus gantung manggung bangun jaga beda presiden butuh konsultan belakang ikn pas bilang investor depan,negatif
492,maaf bilang ikn bikin rusak alam duit negara rakyat kena imbas konstitusi mantu maaf kata lembar lembar marut korup instansi,negatif
493,ida ikn titik nol indonesia emas emang kereta rel jalan sana beres investor ratus kunjung,negatif
494,ikn titik nol indonesia emas,negatif
495,ayah bubu kah ikn kah bentar,negatif
496,kota indonesia sumpek tata kalo tata gusur ikn biar bangun kota,negatif
497,panik bikin cerita kantong ikn,negatif
498,dukung tuju bangun bengkalai ikn tuju jangka timbang respek ramai ijazah hidup keluarga,positif
499,karma ikn kereta cepat investor antri,negatif
500,yakin indonesia emas titik nol ikn nyata mandek penuh bohong investor ratus kereta rel pinjam kemarin punya,negatif
501,ikn suara ati,negatif
502,iya logis istana efisiensi hambur uang ikn biar,negatif
503,ikn tau uji coba rel mending rugi,negatif
504,lapor hilang sempat presiden periode produksi mobil duit triliun investor proyek ikn gelar akademik percaya masyarakat harga sertifikat final ijazah,negatif
505,utama negara koruptor miskin gugur tumbuh abis bunuh koruptor jamin negara makmur korupsi rugi bikin kota ikn korup bayang,positif
506,ikn jalan jelek negara kontol bangsat,negatif
507,dukung ikn tukang tipu sembah dasar manusia bodoh,positif
508,ikn kereta ikn ikn,negatif
509,bohong rakyat indonesia kalo kereta rel ikn rental nama terbang wujud,negatif
510,ikn bubar anjir kereta rel bawa cuman operasi ikn,negatif
511,pajang ikn fungsi,negatif
512,uji coba pakai dana kaum cebong dana ambil uang pajak rakyat rugi rakyat emang otak bani cebong kesitu ikn ternak cebong,negatif
513,tolak jajah cina terima sabot lahan ikn,negatif
514,kereta optimal ikn optimal,positif
515,kalo ide solusi mah kek brosur ikn ide teknologi realisasi nihil gin redam kritik gagal realisasi korup,negatif
516,kurap kemarin gonggong ikn futuristik kereta,negatif
517,coba cek bayar proyek ikn bayar kerja stop,negatif
518,kembali alas uji coba hasil tunjuk sistem fungsi masuk akal barang cina kirim ikn uji layak jujur mahal rezim,negatif
519,cek fakta tetap tokoh korup dunia korupsi haji kroni istana ikn kosong buka mata buka telinga buka hati biar buta tuli dungu,negatif
520,ikn jalan bacot sok pintar bikin gaduh,negatif
521,investor ikn bohong nikmat,negatif
522,harap lihat terbang ikn tujuh hal mobil milik tujuh,negatif
523,amburadul ikn cabut anggar siswa racun tolol,negatif
524,liat taksi terbang ikn,negatif
525,berita kereta rel ikn kembali tinggal,negatif
526,kereta rel ikn kembali triliun anggar ikn sensor kereta pinjam gagal kabar taksi udara jangan ojek buah ikn,negatif
527,indonesia korban perkosa lelaki ikn indonesia oleh komitmen kelola eskalasi relasi indonesia,negatif
528,ratu pantai ikn,negatif
529,ikn singkat serius ikn singkat ijazah,negatif
530,indonesia wanita korban perkosa lelaki ikn timur vonis mahkamah internasional oleh ganti rugi aset aset milik indonesia,negatif
531,kereta rel ikn suara gemuruh lantang jalan ikn pulang serta ternak lantang suara media sosial fakta benar tipu,negatif
532,efisiensi basmi korupsi ikn butuh biar racun investor oke gagas ekonomi makro,negatif
533,investor asing ribu antri ikn,negatif
534,tajam bilang investor asing antri masuk ikn kayak sudut pandang luas lihat klaim investor asing tarik ikn sektor telekomunikasi,negatif
535,bohong investor asing antri masuk ikn,negatif
536,buka khusus teknisi istana merdeka ikn,negatif
537,mudah dompet tunggu migrasi sumber ikn pos bagi aplikasi,negatif
538,mudah dompet tunggu migrasi sumber ikn pos bagi aplikasi,negatif
539,sebar pes unit antri investor ikn,negatif
540,mati mati baik mudah investor singkir ganggu investor limpah investor indonesia gaya bikin ikn mandalika,positif
541,tulis plot sayang ikn,negatif
542,pes investor masuk ikn terbang kereta rel gilir kasih fakta ilmiah skripsi tolak,negatif
543,licik kereta rel ikn uji coba investor transportasi ikn biar percaya kagum kagum bangsat,negatif
544,bangun infrastruktur rata indonesia unit banding mobil juta unit golong beli ikn bangun,negatif
545,ikn simbol harap perata ekonomi indonesia,negatif
546,ikn simbol harap perata ekonomi indonesia,negatif
547,ikn mandek tugu sibuk,negatif
548,rakyat indonesia lapor bohong publik mobil investor ikn,negatif
549,tani traktor antar kereta rel ikn kembali,negatif
550,dana ikn sekolah itu korup,negatif
551,maju ikn emang bikin mata melotot langsung percaya lihat data bangun ikn maret april,positif
552,kalo maju ikn ape ikn maju per kate,positif
553,ajar perintah labrak coba curi harta negara beli uang pribadi canggih ikn lupa bawa sekali,negatif
554,bahasa investor asing antri ikn,negatif
555,tau detail inti proyek ikn buang duit harus pakai tingkat lapang kerja signifikan perata kualitas didik tingkat beasiswa rakyat tengah bawah,negatif
556,alat sirkus kembali pesta main sirkus ikn artis sirkus ikn hambur,negatif
557,hasil rakyat indonesia picing mata kerja hadiah guru urus ikn iya iya triliun nikmat rakyat indonesia kerja,negatif
558,kereta rel ikn kembali deputi ikn ali awi benar kereta otonom kembali hasil uji coba sistem fungsi optimal uji coba sesuai tonton video,positif
559,tanda ikn ketemu kah,negatif
560,dahulu suka investor masuk ikn,negatif
561,audit periksa proyek ikn,negatif
562,karma bang kritik ikn langsung,negatif
563,batal audit ikn,negatif
564,lihat presiden upacara agustus ikn,negatif
565,sosok tunggu ikn,negatif
566,kerja bareng ikn optimis kota kompas,negatif
567,deputi ikn ali awi bilang armada kirim teknologi baik ikn fokus aplikasi biar warga gampang pesan bus listrik sepeda listrik taksi terbang,positif
568,kota nusantara ikn gas uji coba kereta rel gagal kembali buat uji agustus oktober jalan otomatis,negatif
569,tuju mas suka isu ijazah palsu receh isu substansial ikn bahan kritik,negatif
570,bikin film ikn,negatif
571,bikin candi ikn,negatif
572,bawa solo ikn silah pilih cak,negatif
573,nafsu banget balas jasa kawasan milik oligarki fasilitas jual murah tanah bangun milik negara kantor tri pindah operasional ibukota negara ikn dasar,negatif
574,mang isi main sirkus manggung,negatif
575,alas beli siap ikn jalan jalan beli,negatif
576,kereta rel kembali ikn pandang politik citra,negatif
577,ucap kaya ikn dana nilai nol,negatif
578,ikn buka juta lapang kerja sesuai janji,negatif
579,doang biaya angkut cina ikn ikn cina tanggung,negatif
580,pojok gedung ikn,negatif
581,belanja kartu visa sumber ikn pos bagi aplikasi,negatif
582,prediksi harga dampak lepas juta sumber ikn pos bagi aplikasi,negatif
583,ikn stop stop cepat gantung prioritas rakyat jelata,negatif
584,janji ikn buka lapang kerja lapang kerja,negatif
585,ikn cocok studi contoh proyek lanjut henti untung,negatif
586,mabuk asam sulfat keliling ikn mobil bekal darurat tolol,negatif
587,wujud kuyang jalan huni ikn,negatif
588,open ikn kereta rel transaksi tumpang penuh jalan,negatif
589,serius kah pasti program makan gizi gratis laksana ikn kebut baik jalan jabat lintas baik sekolah butuh,positif
590,gin liat kalo ikn kembang banget kalo konser konser liat matang,negatif
591,emang misi ikn ikn jabat,negatif
592,fasilitas ikn uji coba pabrikan niat ikn selesai uji coba wajar bawa pulang,negatif
593,investor masuk ikn jelas negara bang fakta bang,negatif
594,kak tolong ikn senyap kabar,negatif
595,ikn bohong video takut,negatif
596,matahari bohong ikn proyek boros manfaat masyarakat luas,negatif
597,ikn kampanye ikn sibuk ikn lupa perhati sektor didik tani nelayan lupa rakyat garis miskin miskin akut kuasa amanah,positif
598,buru anggar proyek ada pola ikn proyek duit negara tarik peduli,positif
599,ikn bohong video takut,negatif
600,investor pelopor didik ikn patra jasa,negatif
601,jam ukur misteri timur ikn misteri indonesia,negatif
602,ikn kota modern,positif
603,lanjut bangun ikn,negatif
604,lanjut bangun ikn,negatif
605,ikn kota modern,positif
606,jalan triliun habis ikn singkat,negatif
607,wajar duit ikn,negatif
608,beli milik produk pinjam produk ikn cocok produk beli unit cocok pulang pabrik ada barang,negatif
609,sakti parameter perintah pusat bangun ikn bikin program bikin gilir fakir miskin didik situ proyek,negatif
610,dukung penuh bangun kota nusantara pusat perintah hijau modern lanjut,positif
611,dukung penuh bangun kota nusantara pusat perintah hijau modern lanjut,positif
612,bungkus ikn asin,negatif
613,unit kereta rel uji coba kota nusantara ikn agustus resmi kembali kembali usaha sedia kamis,negatif
614,ikn wujud perata bangun nasional,negatif
615,ikn sambut investor asing kolaborasi cipta inovasi,negatif
616,ikn gelar kelas antar kota peka air,negatif
617,ikn bis kereta hutang,negatif
618,indonesia datang sengaja datang ikn pakai uji coba rangka promosi,negatif
619,kalo infrastruktur ikn ngapain koar koar seh komunikasi bagus komunikasi lewat munafik sadar ama mampu rakyat beli istana saat warga hidup mulia munafik,positif
620,ikn kirim kapal negeri kirim muncul biji mobil mobil stiker nama aku nama,negatif
621,alur bikin candi ikn bikin isi campur,negatif
622,babi suka puja puji ikn muka seman biar muka babi,negatif
623,transportasi pinjam gratis jajal ikn uji coba perintah bangun jalur khusus jalan,negatif
624,investor ikn berita ikn kembang investor,negatif
625,ikn somplak kau kau patut sangka tom hapus,negatif
626,ikn nusantara cermin jati bangsa nama konsep akar budaya ikn cermin semangat satu kaya indonesia,negatif
627,ikn kota hijau ramah lingkung bangun konsep ikn simbol komitmen indonesia lestari bersih,positif
628,pindah kota sebar adil ikn hadir dorong tumbuh ekonomi rata bangun pusat,positif
629,bangun ikn langkah strategis indonesia modern rata lanjut kota,positif
630,dah ikn ikn proyek suram,negatif
631,hutan mistis ikn,negatif
632,hutan ikn pohon mana,negatif
633,garuda simetris gedung ikn bangun jin,negatif
634,investor antri ikn rampung ijazah mudah,negatif
635,lapang kerja untuk ikn,negatif
636,ikn lap kerja salah open,negatif
637,logika laku mas kalo simpel seru ikn pagar laut cuat berita,negatif
638,jalan kereta rel ikn kembali,negatif
639,sumpah dukung pola kalo gambar hasil keren banget kalo mah mual kalo bikin bijak rumus mas kaya kau bikin ikn rusak gerbong,positif
640,calo tanah bawa emang calo tanah ikn tawar investor hal silah negara jajah,negatif
641,trauma ikn isi ratus investor siluman,negatif
642,tanda orang sembarang tafsir dunia sesuai konteks contoh konteks media tingkat ikn bengkalai,negatif
643,jalur bandara ikn,negatif
644,manusia percaya bodong ikn investor ikn antre utang negara kantong ajaib tau banyak,negatif
645,gembor makan gratis ikn mana bang,negatif
646,emang asli rektor dekan valid teman kampus sampean rekan benci obat kerja nyata hilir ambil alih tambang ikn minyak sawit jalan mana rakyat rasa,negatif
647,sumber hancur indonesia janji tepat ikn nasib bukti penjara cari orang orang libat moga indonesia adil makmur damai,positif
648,ikn rata loh,negatif
649,liat bobrok masyarakat pikir kritis bilang idiot emang sempurna negara sempurna mobil ikn omong,negatif
650,ribu ribut banget mending ikn,negatif
651,hasil kerja mobil unit investor ikn ribu triliun ekonomi roket,negatif
652,malu pas ikn guru malu rasa untung salah,negatif
653,kim selamat tiket ikn,negatif
654,mampir belok lihat ikn lupa lempeng ketemu lupa lihat lihat program mercusuar,negatif
655,ikn festival indonesia rakyat suruh bayar mahal pajak rakyat kota maju pas bangun fasilitas,positif
656,ragu lugu sederhana fakta bohong mobil inden unit dana kantong kantong investor asing bangun ikn dana,negatif
657,map daftar dana kantong investor bangun ikn inden mobil,negatif
658,penuh butuh rakyat muas ego kepala bangun ikn,negatif
659,proyek bandara ikn tuntas operasional tunggu,negatif
660,bin kantor ikn kantor modular bin kantor modular pindah lokasi bangun permanen juni susul,negatif
661,negara uang kas bayar sewa sewa cuman pajang keren keren doang kelas celeng hutan enggan masuk area ikn buat solo,negatif
662,cepat bangun sektor didik ikn pindah,negatif
663,pegawai bin pindah ikn juni huni kantor,negatif
664,cuman ikn wilayah wilayah tambang gas orang kerja keluarga,negatif
665,juta lapang kerja generasi emas open ikn mending,negatif
666,teladan kantong unit mobil pes ikn banjir investor final,negatif
667,sadar kereta rel era ikn moga sadar,negatif
668,paman kerja proyek ikn pulang pulang bilang dah nikah tahu tante lonte anak hamil anak lonte anak sekarat kena tumor,negatif
669,apes kereta otonom rel kota nusantara ikn transit kembali,negatif
670,situ tulis kerja konstruksi bangun ikn,negatif
671,dikit aven buka kasino ikn anjir distrik lampu merah hutan ama judi,negatif
672,proyek konstruksi muncul sekitar lokasi proyek paket ikn libat bangun kilang gas muncul warung remang sekitar gerbang proyek,negatif
673,astagfirullah langgan ikn,negatif
674,mahal bangun ikn solar panel lepas pantai,negatif
675,pilih bangun ikn benah kota,negatif
676,bilang ikn ibukota hantu buru ambil putus bikin ibukota pas lengser kaya ken dana gede gampang cair biar korupsi,negatif
677,kantor pos orang kantor jalan mayor kosong kursi karat efek domino ikn ambisi pindah kota omong tipu,negatif
678,masya allah indonesia ikn hasil kreativitas anak bangsa,negatif
679,jalan jalan ikn,negatif
680,misi rahasia jemput tuan putri istana ikn start kampus,negatif
681,lapor prostitusi ikn berita lokal kerja seks peluang ekonomi proyek konstruksi usaha tangan,negatif
682,judul berita asli pakai dana haji lanjut ikn judul berita edit,negatif
683,gantung orang kalo iman kuat butuh otak lepas akibat kerja berat ikn,negatif
684,butuh langgan ikn,negatif
685,perintah presiden banyak fokus bikin keluar dana ikn,negatif
686,strategi otomatis ikn kunjung investor lendir judi lokal nasional internasional ide brilian,negatif
687,pikir ikn belantara hutan asli duduk sana struktural sosiologi ekonomi hukum banget,negatif
688,panggung tema ikn,negatif
689,ikn minat solusi,negatif
690,era sumber ikn pos bagi aplikasi,negatif
691,selamat konten verifikasi juta sumber ikn pos bagi aplikasi,negatif
692,haus jabat kalah lihat pakta korupsi ikn pagar laut benar tonggak juang negara harus bohong,negatif
693,halo mas ikn berita fungsi ramai,negatif
694,ikn solar panel om sayang orang ikn berisik,negatif
695,loh kabar dana ikn stop kerja,negatif
696,kembali bangga ikn salah,negatif
697,ikn kota hijau dunia suntik dana potensi pinjam miliar,negatif
698,utang bangun stadion ikn,negatif
699,biar tri betah pas ikn ogah pindah,negatif
700,argumen kualitas rendah indonesia luas tinggal ikn tempat indonesia timur,negatif
701,trem rel buat uji coba ikn kembali ikn sebut kembali janji evaluasi teknologi hasil uji coba sempurna trem,negatif
702,ikn kota hijau dunia suntik dana potensi pinjam miliar,negatif
703,cerita tetap ikn bukit rintik ramai pusat ikn ketat konsumen pusat ikn,negatif
704,bangun ikn wujud transformasi ekonomi nasional,negatif
705,ikn nusantara magnet tumbuh ekonomi,negatif
706,tuju dua lacur kumpul ikn entitas beda lacur puisi satu puisi populer hidup jaman gubernur ali bidan lahir,negatif
707,minimal jasa mas bangun ikn sia sia segi lapang kerja,negatif
708,jongos politik cari investor ikn,negatif
709,main ikn bambang penak nyaman,positif
710,biar suruh piknik ikn kabar hibur,negatif
711,ikn indonesia maju,positif
712,ikn indonesia maju,positif
713,ikn indonesia maju,positif
714,lucu ikn ijazah palsu,negatif
715,ikn koloni pasar data talenta atur daulat kota pintar monumen kalah digital,negatif
716,heboh ikn prostitusi tanggap perintah,negatif
717,ampas aset kalah cepat ikn,negatif
718,ikn indah utang gunung ikn butuh ratus duit pinjam,positif
719,ekonomi ikn ganyang ibukota lancar,negatif
720,dukung ikn nusantara,positif
721,dukung ikn nusantara,positif
722,dukung ikn nusantara,positif
723,sekian investor ikn mohon cerah reputasi,negatif
724,kampus sekolah internasional hadir ikn murid,negatif
725,investor ikn emang klien sepi,negatif
726,banyak mobil keliling ikn hidup guna hidup manfaat hidup hidup sok,negatif
727,berita prostitusi ikn dasar lapor lokal sebut tangkap kerja seks najam paser utara aplikasi gencar,negatif
728,indonesia patung ikn,negatif
729,mobil keliling ikn,negatif
730,cur besar ikn ibukota,negatif
731,ikn wisata lendir,negatif
732,ikn bangun sono doi bikin bagus bilang air susah mending buka panti telat,positif
733,ikn nusantara tarik investor partisipasi garap proyek bangun kota negara,negatif
734,sang menteri coba negosiasi sori sori ikn terbang,negatif
735,keluh tingkat pesat bangun ikn,negatif
736,tugu ikn belah gedung,negatif
737,lonte ikn lonte pindah ikn,negatif
738,bal ikn kah,negatif
739,ikn buka lapang kerja orang diam perang kah balik batu bara gilir bangun bangun pas gilir bangun dasar dungu klaim ambil,negatif
740,dungu bangga ikn,negatif
741,orang ikn buka lapang kerja orang diam perang kah balik batu bara gilir bangun bangun pas gilir bangun dasar dungu,negatif
742,oke kayak tugu ikn,negatif
743,makan warga ikn,negatif
744,cepat mandiri jadi ikn pusat hibur raksasa bangun kasino rumah judi rumah bordil bar pusat hibur legal jamin ikn las ikn langsung milik gerogot,negatif
745,indonesia tolak rakyat banjar melayu lawan tahan isyarat aneksasi merdeka ikn milik,negatif
746,bangga ikn kereta rel jelas,negatif
747,biar ikn nyala jam,negatif
748,kira ikn sepi orang loh sana langgan sana,negatif
749,cocok mas prinsip ikn rel beda,negatif
750,kek tar versi ikn,negatif
751,pindah wakil ikn,negatif
752,uji coba kereta rel ikn kembali,negatif
753,makan khas ikn,negatif
754,pikir orang ikn,negatif
755,kunjung industri ikn pas pulang,negatif
756,ngebet banget bikin ikn,negatif
757,bisnis ikn jok,negatif
758,ikn lahan subur bisnis jual beli,positif
759,tarik merana moga ikn,negatif
760,lapang kerja ikn,negatif
761,ikn kasih dana biaya awat kalo ikn miris,negatif
762,bangun ikn suruh tanggung,negatif
763,kabar gratifikasi mantu kabar libat sang istri mantu bisnis tambang ikn penuh kacau tenggelam hiruk ijazah aspal,negatif
764,sosok dewi tunggu ikn open,negatif
765,kak taun pas kerja ikn tim inap kerja proyek emang suka jajan,negatif
766,insentif jamin didik sehat layak keluarga risau pusat bijak pindah ikn,negatif
767,hantu ikn ringan mal,negatif
768,ikn bikin biaya sono miris,negatif
769,iman lemah kalo takut pindah ikn,negatif
770,pindah organik butuh ikn,negatif
771,kudu ikn daerah negara,negatif
772,dukung dukung biar putar uang ikn,positif
773,ikn kerja proyek lanjut,negatif
774,ikn kalo ubah pusat prostitusi kasino judi,negatif
775,dosa orang indonesia dosa makan babi semangat ikn,negatif
610,dukung penuh penuh bangun kota nusantara pusat perintah hijau modern lanjut,positif
68,cipta tuduh perintah dukung bukti rancang jujur kritik bijak proyek ikn bahas bahas maju selesai,positif
427,bangun bangun ikn nusantara maju indonesia,positif
507,dukung ikn tukang tukang tipu sembah dasar manusia bodoh,positif
144,ikn maju bangsa bangsa indonesia indah,positif
9,materi ikn pindah silah spiritual magis sakral berani jamin dukung tuan puan cek ujung berani timur utara selatan bolak barat urus langit,positif
139,dukung ikn nusantara nusantara,positif
68,cipta tuduh perintah dukung bukti rancang jujur kritik bijak proyek ikn bahas maju maju selesai,positif
498,dukung tuju bangun bangun bengkalai ikn tuju jangka timbang respek ramai ijazah hidup keluarga,positif
410,ratus proyek proyek ikn dana baik jalan camat desa,positif
315,ikn dorong kembang infrastruktur hidup transportasi cerdas layan publik digital tingkat kualitas modern masyarakat kuat daya saing global indonesia,positif
3,ikn kota simbol identitas nasional cermin semangat satu maju indonesia indonesia,positif
712,ikn ikn indonesia maju,positif
498,dukung dukung tuju bangun bengkalai ikn tuju jangka timbang respek ramai ijazah hidup keluarga,positif
203,bagus pikir indonesia depan ikn ikn pasti,positif
63,akar khasiat bagus obat senter diabetes malaria kalo kudu iblis ikn biar hutan tanam,positif
481,ikn nusantara pindah kota transformasi simbol indonesia negara maju kota rancang ramah lingkung cerdas lanjut wujud nyata indonesia,positif
20,kalo nusantara tipu ribu mobil jalan kena hutang negara kurang saham milik ikn indah kaya hutan,positif
597,ikn kampanye ikn sibuk ikn lupa miskin sektor didik tani nelayan lupa rakyat garis perhati miskin akut kuasa amanah,positif
454,dukung makzul konstitusional bikin tabu poin fokus sisa bagus stop stop ikn cabut masalah negara kuasa tambang,positif
143,ikn maju bangsa bangsa indonesia indah,positif
315,ikn dorong kembang infrastruktur modern transportasi cerdas layan publik digital tingkat kualitas kualitas hidup masyarakat kuat daya saing global indonesia,positif
93,kotok pilih papa gas malu gas duit negara ikn lanjut rakyat makmur lapang kerja indonesia terang,positif
431,bangun ikn nusantara maju maju indonesia,positif
429,ikn bangun nusantara maju indonesia,positif
141,dukung ikn ikn nusantara,positif
207,buat kau negeri sok manusia kau rezim rezim negeri hebat kau gedung ikn,positif
454,dukung makzul konstitusional bikin tabu poin fokus sisa bagus bagus stop ikn cabut masalah negara kuasa tambang,positif
8,komentar rektor udara bersih ikn kondusif aktivitas olahraga,positif
629,bangun ikn langkah langkah strategis indonesia modern rata lanjut kota,positif
514,kereta ikn optimal optimal,positif
206,bangun ikn rakyat barang bahan hasil jujur bayar kawasan ikn berkah maki doa buruk dapat ikn orang orang orang bayar malu sedih,positif
221,hina periode adil investor bohong produksi bohong delik ikn bohong triliun kantong kait,positif
720,dukung dukung ikn nusantara,positif
597,kampanye ikn ikn sibuk ikn lupa perhati sektor didik tani nelayan lupa rakyat garis miskin miskin akut kuasa amanah,positif
138,baik lanjut ikn ikn utang ekonomi benjut nilai tukar kerja juta murah burut hasil rakyat hanyut,positif
379,gantung ikn bagus bareng bareng dukung,positif
203,bagus pikir indonesia depan depan ikn pasti,positif
32,buat indonesia maju mantap ikn,positif
628,pindah kota sebar adil pusat hadir dorong tumbuh ekonomi rata bangun ikn,positif
558,kereta rel ikn kembali deputi ikn ali awi benar kereta otonom video hasil uji coba sistem fungsi optimal uji coba sesuai tonton kembali,positif
713,ikn maju indonesia,positif
605,ikn ikn kota modern,positif
352,bikin negara ikn angkut puja biar negeri negeri aman tenteram damai,positif
166,cerdas nol bilang investor asing ikn antri dikit bukti ucap bohong,positif
141,dukung ikn nusantara nusantara,positif
132,sanding ikn birokrasi pintu ikn baik sekolah indonesia lewat birokrasi belik tukang sunat sunat dana sekolah sunat gubernur bupati camat,positif
722,dukung ikn ikn nusantara,positif
605,ikn ikn kota modern,positif
567,deputi ikn ali awi bilang pesan kirim teknologi baik ikn fokus aplikasi biar warga gampang armada bus listrik sepeda listrik taksi terbang,positif
298,ikn jadi maju indonesia,positif
720,dukung dukung ikn nusantara,positif
427,bangun ikn nusantara maju indonesia indonesia,positif
567,deputi ikn ali awi bilang armada kirim kirim teknologi baik ikn fokus aplikasi biar warga gampang pesan bus listrik sepeda listrik taksi terbang,positif
611,dukung penuh bangun bangun kota nusantara pusat perintah hijau modern lanjut,positif
567,deputi ikn ali awi bilang armada kirim teknologi baik ikn fokus aplikasi biar warga gampang pesan pesan bus listrik sepeda listrik taksi terbang,positif
227,anggap anggap demokrasi sempat buka insan manusia wayang cuman bagus ikn,positif
722,dukung nusantara ikn,positif
187,ikn dukung hanya,positif
262,anggar kota nusantara ikn triliun bangun sekolah baik butuh biaya miliar sekolah bangun baik sekolah,positif
68,cipta tuduh dukung perintah bukti rancang jujur kritik bijak proyek ikn bahas maju selesai,positif
655,fasilitas festival indonesia rakyat suruh bayar mahal pajak rakyat kota maju pas bangun ikn,positif
207,buat kau kau negeri sok manusia kau rezim negeri hebat kau gedung ikn,positif
772,dukung dukung biar putar uang uang ikn,positif
628,pindah adil sebar kota ikn hadir dorong tumbuh ekonomi rata bangun pusat,positif
275,dukung tugas senang ikn analisis hati moga,positif
558,kereta sistem ikn kembali deputi ikn ali awi benar kereta otonom kembali hasil uji coba rel fungsi optimal uji coba sesuai tonton video,positif
772,dukung putar biar dukung uang ikn,positif
438,poin solo forum tanding garis dukung lanjut ikn,positif
294,ikn jadi indonesia indonesia maju,positif
139,dukung nusantara ikn,positif
455,berkah ikn pasok bayar bayar pasok barang cerita usaha cat pilih pasok cat ikn takut bayar ikn potret bukti kuasa nama,positif
324,dukung penuh perintah kota nusantara pusat bangun hijau modern lanjut,positif
424,selenggara negara pikir situ ijazah tunggu maju kota ikn untung negara pinjam ribu untung kali lipat kali lipat kali lipat pikir presisi untung,positif
