full_text,final_cleaned,sentiment
@DoankWarto Ndak melaporkan rakyatnya cuman menyetujui pelemahan KPK pembangunan IKN revisi UU TNI menggulingkan Gusdur berpartner dengan pelanggar HAM berat dan tidak mendorong perampasan asset koruptor. Gak usah terlalu fanatik 11-12 cuman beda versi.,lapor rakyat cuman tuju lemah bangun revisi guling partner langgar ham berat dorong ampas koruptor fanatik cuman beda versi,positif
@DokterTifa Sudah byk kebohongan dia dr ekonomi meroket dana 11 rb triliun investor byk antri ke IKN dll masih ada yg percaya sama si dia? Koplak sih pemujanya @jokowi dan fufufafa @gibran_tweet,bohong ekonomi roket dana triliun investor antri percaya puja,negatif
Sekda Kukar Dr. Sunggono menekankan peran strategis Kukar sebagai mitra Ibu Kota Nusantara (IKN) yang dapat memperkuat interkoneksi antar wilayah menuju IKN. Selengkapnya:  ,tekan peran strategis mitra kota nusantara kuat interkoneksi wilayah tuju lengkap,positif
Pak @prabowo skrg nih lg ad tawuran rutin wrga di wil manggarai @DKIJakarta yg pd tawuran kmplin krm ke IKN aj srh idup disono 3-6 bln liatin aja pd bs brthn idup/ mati pln2 drpd tawuran trs cm ganggu org yg udh mkn ssh idup di jakarta ini. @BNPTRI @DivHumas_Polri,tawur rutin tawur sono mati tawur ganggu,negatif
@Rahim9Helmi @yaha_edwin @gtobing2903 @jokovvl @DianSandiU @bengkeldodo @mas_veel_ @mohmahfudmd @MasBRO_back @AcoyBk @CinereUnun41935 @daengbang06 Tandanya IKN rame dong ..,tanda,negatif
@eyintan__ Dua duanya perlu dijadikan tumbal proyek IKN,tumbal proyek,negatif
@ARSIPAJA dulu juga ada yang pernah bilang ada banyak investor ke IKN,bilang investor,negatif
Fix yaa agustusan nanti ini yang dikibarin di IKN? MORA MERONA EPS 155 #TroubleMakerXTroubleSolver #AgainstTheWorldWithMoRa #MORA,agustus rona,negatif
bawa ke ikn nanti kita promosi bersama pak presiden #omkegash,bawa promosi presiden,negatif
 Pembiayaan untuk semua PoC yang dilakukan di IKN ditanggung oleh technology providers masing-masing termasuk juga untuk POC trem otonom terangnya Ini gw taruh biar mata picek lu BACA @SaputraGone,biaya laku tanggung masuk trem otonom terang taruh biar mata baca,negatif
@Rahim9Helmi @yaha_edwin @gtobing2903 @jokovvl @DianSandiU @bengkeldodo @mas_veel_ @mohmahfudmd @MasBRO_back @AcoyBk @CinereUnun41935 @daengbang06 Di kaltim ada yg setuju IKN juga kan ..,tuju,positif
OIKN: Hunian ASN di IKN siap tampung pemindahan tahap awal  ,huni tampung pindah tahap,negatif
@kurawa Ketika ekonomi dunia Baru merangkak pulih karena covid indo mulai pulih Dana minim malah bikin IKN yg mandeg ,ekonomi dunia rangkak pulih pulih dana minim bikin,negatif
Baru tahu Bambang Susantono mundur dari Kepala Otorita IKN. Ada apa ya? Kok bisa tiba-tiba gitu? Baca artikelnya di sini:  #IKN #BeritaTerkini,bambang mundur kepala baca artikel,negatif
Sepertinya ada banyak hal sepele yg diabaikan dlm pembangunan IKN yg kelak akan menjadi masalah hingga berlarut-larut. ;-)) @aspitibyan..;-)),sepele abai bangun kelak,positif
19. berdusta dg mengatakan byk investor yg tertarik inves ke IKN.. sesuai wkt ditanyakan kembali.. blm ada. 20. kasmujo trnyata tdk ada tercatat dlm skripsi @jokowi 21. pendpt prof ryaas rasyid &amp; tokoh pdip ttg @jokowi 22. salah penulisan nama pembimbing shrsny dg U ditulis OE ,dusta investor tarik sesuai catat skripsi prof rasyid tokoh salah tulis nama bimbing tulis,negatif
15. akhirnya.. lhkpn @jokowi mengalami peningkatn signifikan slama menjabat... 16. hutang NKRI jg melonjak signifikan. di akhir masa jabatn @jokowi 17. JKW mengatakn pembimbingnya adlh kasmudjo 18. memaksa pindah ke IKN pdhl tdk ada dlm program kampanye.byk prosedur ditabrak ,alami signifikan jabat hutang lonjak signifikan bimbing paksa pindah program prosedur tabrak,negatif
@detikcom Tolong jatuhnya ke ikn atau rumah jokowi,tolong jatuh rumah,negatif
@brunoNewBorn @kegblgnunfaedh @KatolikG @BuddhisGL @GlHindu sudah pak jangan kemana2 masing2 saja. yg jelas mungkin dia ketemu jin iprit jin ikn jin korup etc2.,ketemu jin iprit jin jin korup,negatif
MENGUBAH GEOPOLITIK ASIA TENGGARA..!Panitia Persiapan Pemerintahan DKI Nusantara Dorong Penerbitan Perdasus IKN Nusantara  lewat @BERGELORA.COM ,ubah geopolitik perintah nusantara dorong terbit nusantara,positif
@HarryPattyRM00 @Lucy_888888 @DokterTifa banyak kali bohong nya mas bahwa IKN sudah disetujui oleh seluruh rakyat Indonesia pengamat dan akademisi menyatakan bahwa keputusan pemindahan IKN lebih merupakan kehendak elite politik dan ambisi pribadi jokowi bukan aspirasi rakyat secara luas ,kali bohong mas tuju rakyat indonesia akademisi nyata putus pindah rupa elite politik ambisi pribadi aspirasi rakyat luas,negatif
IKN Nusantara Mendorong Arus Perdagangan Antar Wilayah ,nusantara dorong arus dagang wilayah,positif
IKN Bukan Sekadar Perpindahan Ibu Kota ,pindah kota,negatif
gak bisa di sandingkan IKN itu birokrasinya baru dan satu pintu ada otorita IKN kalau memperbaiki sekolah seluruh indonesia itu melewati birokrasi yg amat banyak berbelik dan banyak tukang sunat Dana 1 sekolah itu di sunat dari ditjen gubernur walikota bupati camat dsb ,sanding birokrasi pintu sekolah indonesia birokrasi belik tukang sunat dana sekolah sunat gubernur bupati camat,negatif
IKN Nusantara Mendorong Arus Perdagangan Antar Wilayah ,nusantara dorong arus dagang wilayah,positif
@DianSandiU Udah dapat mobil gratis esemk ya mas Udah dapat jabatan APA? Janji jokowi tidak bagi bagi jabatan nyatanya??? Udah sekuat APA KPK? Malah makin bobrok Kereta cepat gimana? Utang udah lunas belum? IKN janjinnya gak pakai APBN nyata nya gimana? Banyak kebijakannya ingkar janji.,mobil gratis mas jabat janji jabat nyata kuat bobrok kereta cepat utang lunas pakai nyata bijak ingkar janji,negatif
@democrazymedia Hutan yg lu babat buat ikn juga bukan objek pemuas ego lu juga pak.,hutan babat objek muas ego,negatif
IKN Bukan Sekadar Perpindahan Ibu Kota ,pindah kota,negatif
@ferdyan8055 @tempodotco @prabowo Memperbaiki apa kan keberlanjutan IKN lanjut Utang lanjut PHK lanjut ekonomi 8% benjut nilai tukar Rp 5000 Kanjut lapanga kerja 19 juta entut sembako murah burut penghasilan rakyat hanyut,utang ekonomi benjut nilai tukar kerja juta murah burut hasil rakyat hanyut,negatif
ikn memajukan bangsa indonesia jadi lebih indah ,maju bangsa indonesia indah,positif
ikn memajukan bangsa indonesia jadi lebih indah ,maju bangsa indonesia indah,positif
ikn memajukan bangsa indonesia jadi lebih indah ,maju bangsa indonesia indah,positif
ikn memajukan bangsa indonesia jadi lebih indah ,maju bangsa indonesia indah,positif
Timnas Indonesia Jalani TC di Bali Jelang Lawan China dan Jepang Alasan Bukan di IKN Kaltim #Timnas #TimnasIndonesia #TimnasDay  lewat @tribunkaltim,indonesia jalan bal jelang lawan alas,negatif
@orchidiahs @ARSIPAJA Bapaknya wapres sm IKN.. Demi nafsuu pribadii ngorbanin 270 juta orang ,pribadi juta orang,negatif
Ada yg mendalilkan: - Mobil Esemka. Buktinya Zonk - Investor asing untuk IKN over subscriber. Faktanya Zonk - Pertumbuhan ekonomi - Stop impor - Stop utang - 10 juta lapangan kerja. Hasil: lapangan kerja buat anak dan menantu ,dalil mobil bukti investor asing over fakta tumbuh ekonomi stop impor stop utang juta lapang kerja hasil lapang kerja anak menantu,positif
Sekolah Internasional dan Kampus Bertaraf Global Mulai Dibangun di IKN Ini Detailnya ,sekolah internasional kampus taraf global bangun detail,positif
@armstrong_jeje @DokterTifa cebong pki? lo yg setress krn dibayar utk mangab gada efek! bukannya sudah waktunya kembali ke alammu? IKN noh banyak yg nunggu. Emang gada malu IKN mangkrak duit kemana ekonomi amburadul. Guobluok.,cebong bayar gada efek alam emang gada malu duit ekonomi amburadul,negatif
@Nebuchanedzar_I Sama roadmap nya kan ada Koarmada buat mengawal IKN jadi pasti ada Koarmada baru di Balikpapan.,roadmap koarmada ikn koarmada balikpapan,negatif
@kompascom Kedengaran spt investor ngantri di IKN,dengar investor,negatif
@bahri1262 @DedynurPalakka Yg mau tanam modal di IKN kok ga nongol ya,tanam modal nongol,negatif
@rafinashra @txtdaritax @PNS_Ababil Kalo Srimul berani debatin orang sekitar Presiden itu IKN juga kaga jadi dibkin secara terbirit2 kali cuy,kalo berani orang presiden birit kali,negatif
@DokterTifa Saya sebagai rakyat merasa di bohongi 1. Kereta cepat ga pakai APBN IKN juga ga pakai APBN. Kalau Esemka punya uang 11rbT itu saya anggap ga bohongi saya.,rakyat bohong kereta cepat pakai pakai uang anggap bohong,negatif
@B4ng_Hans Penduduk dipinggiran IKN sangat beruntung dan ketiban rezeki. Sewa tanah +/- 60 m2 120 jt setahun.,duduk pinggir untung ketiban rezeki sewa tanah,negatif
@DokterTifa Pernah menyatakan Esemka indent 6000 units IKN tanpa APBN Tidak import dll. sudah terbukti bukan ?,nyata bukti,negatif
IKN Nusantara: Membuka babak baru dalam sejarah Indonesia. Dengan pembangunan IKN Nusantara Indonesia diharapkan dapat menjadi negara yang lebih maju dan berdaya saing global. #IKNNusantara #SejarahIndonesia ,nusantara buka babak sejarah indonesia bangun nusantara indonesia harap negara maju daya saing global,positif
IKN Jadi Alasan Kalimantan Timur Masuk Daftar Penanganan Karhutla Khusus 2025 ,alas timur masuk daftar tangan khusus,negatif
@AiraNtieReal @B4ng_Hans Begitu IKN ditempati lu langsung sakit jiwa n stress. . ,langsung sakit jiwa,negatif
Kucuran Rp16 5 Triliun dari ADB dan AIIB Perkuat Proyek IKN ,kucur triliun kuat proyek,negatif
Pi Network Siap Guncang Dunia Kripto! Gandeng Bank Raksasa Eropa Akses Pi Coin Makin Gampang Hanya Hitungan Detik Sumber: IKN Pos  Dibagikan melalui Aplikasi Google,guncang dunia gandeng bank raksasa akses gampang hitung detik sumber pos aplikasi,negatif
@evotyul @IllyakashkovaVT @MarcelCosYT Jelas paling konyol tuh halusinasi Mukidov El Bansos Al Ngibulin di kantongnya ada 11000 T investor asing antri masuk IKN Awokawokawok,konyol halusinasi kantong investor asing antri masuk,negatif
@Lembayung071 @jokowi @prabowo Pembangunan IKN relasi si @mas_veel pny dana unlimted yg siap mnggelontorkan duit cc @HeryIdris5 @DjolaFix @vicko_twitt @feroferraferri @oblosid @gibran_tweet @jokowi @prabowo ,bangun relasi dana duit,positif
Kalimantan Tengah Luncurkan Logo HUT ke-68 Angkat Filosofi Dayak dan IKN ,luncur logo hut angkat filosofi,negatif
@cheezecha_ Wkwk ikn produk gagal,produk gagal,negatif
@Kaki_langit07 @jokowi Cerdas dikit lah .. Jokowi bilang Investor asing buat IKN antri nyatanya sampai hari ini NOL . Sudah terbukti ucapannya bohong.,cerdas dikit bilang investor asing antri nyata nol bukti bohong,negatif
@PakatDayak_ PENJILAT IKN akhirnya MUNCUL dari KEDALAMAN...,jilat muncul,negatif
@nnabilaabil Iyaaa.. tau2 nanti konser di ikn lagi ,tau konser,negatif
@DianSandiU @SocmedMy Jahat mana sama yg klaim investor IKN ada 472 yg antre masuk? Atau sama yg bilang anaknya tidak tertarik politik padahal ,jahat klaim investor antre masuk bilang anak tarik politik,negatif
@Sumarno12998913 @DokterTifa IKN keuntungan negara? Dilihat dr kacamata mana? Kacamata mulyono? Pantess..,untung negara lihat kacamata kacamata,negatif
@blackshark7890 Ni orang salut bener... Kalo ngomong yakin bener.. Padahal rekam jejak omongan dia berseliweran di media bisa di lihat sepanjang masa. Ngomongin.esemka.ngomongin ikn tanpa apbn.kereta cepat.ekonomi meroket.anak g tertarik politik.g ngutang..dll. Begitu mempesona g ngibulnya..,orang salut kalo rekam jejak omong seliwer media lihat tarik pesona,negatif
@samarchitect86 @hanumrais Iya ya mas.. siap. Ivestor dr singapura korea sdh ke IKN? Esemka yg 6000unit kliatan dijalan ga? Apa jangan2 lo udah dpt bagian 11000T... Apa ga ada semua namany jg tukang ngibul,iya mas unit jalan tukang,negatif
@mediaindonesia Jokowi telah berhasil berkantor di IKN Juli. Joko Widodo sedang dicoba diseret2 oleh inner circle Jokowi yang tidak ikut berkantor di IKN Juli begitu ?,hasil kantor juli coba seret kantor juli,negatif
@MariaAlkaff_ @dewiirawan13 Alamat IKN bakal menjadi Gang Dolly kedua,alamat gang,negatif
@cinktaa Aku ada tapi di ikn kak lagi otw,kak,negatif
Mending bahas IKN jadinya mangkrak apa gimana?,mending bahas,negatif
IKN adalah Simbol Harapan Baru untuk pemerataan ekonomi Indonesia ,simbol harap perata ekonomi indonesia,negatif
Opini saya segera tayang di Suara Merdeka baru digubris oleh Redaksi bahasnya masih seputar ASN tapi khususnya terkait Pemindahan ke IKN hehehe. Cukup banyak yang saya tahu karena 2023 hingga 2024 awal terlibat dalam rapat-rapat bersama K/L dalam revisi Perspresnya.,opini tayang suara merdeka gubris redaksi bahas putar khusus kait pindah libat revisi,negatif
IKN itu buah menzinahi kebijakan. Jadi wajar kalau jadi tempat prostitusi.,buah bijak wajar prostitusi,negatif
IKN nusantara tarik investor yang akan berpartisipasi menggarap proyek pembangunan Ibu Kota Negara #ibukotabaru #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN ,nusantara tarik investor partisipasi garap proyek bangun kota negara,positif
IKN nusantara tarik investor yang akan berpartisipasi menggarap proyek pembangunan Ibu Kota Negara #ibukotabaru #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN ,nusantara tarik investor partisipasi garap proyek bangun kota negara,positif
@SigitWasito8 Apa sih 10 thn yg orang2 suka dari kinerja jokowi? *Pembual *Bikin KPK lema syahwat *Buang buang uang demi pembangunan IKN yg sok pinter tapi bikin negara kolap. *ESEMKA yg cuma gede di bacot *Uang 11T padahal itu cuma khayalan semata. *Ngumpulin utang bikin mangap mangap APBN.,orang suka kerja bual bikin lema syahwat buang buang uang bangun sok bikin negara gede bacot uang khayal utang bikin mangap mangap,positif
@newIding30 @Ary_PrasKe2 @S4N_W1B1 @Wan77575 @widunuk @TrisiyoWong @Opa9cc @Hanz1843454 @M_Katjasungkana @fifahman2807 @DhammaDjunaidi @Ciput84725571 @Bersinar2023 @HerryKeytimu @eddesign_ @0xfatimah Bukan investor asing yang mendarat di IKN Tapi turis bule nyasar selfie di proyek mangkrak nan megah! ,investor asing darat turis bule proyek nan megah,negatif
IKN oh IKN janji manis kota impian Katanya investor asing antre dompet tebal siap digelontorkan. Tapi apa kenyataannya? Bukan dolar yang mendarat di bandara Melainkan turis bule Auuuuuuu ...,janji manis kota impi investor asing antre dompet tebal gelontor nyata dolar darat bandara turis bule,negatif
@DokterTifa @prabowo mungkin ga ini disengaja oleh tim prabowo execuse biar MBG dievaluasi dan dibatalkan menghemat anggaran... balik buat biayai IKN,sengaja tim biar evaluasi batal hemat anggar biaya,negatif
Titik Nol IKN berbeda dengan Titik Nol kilometer daerah lain ,titik nol beda titik nol kilometer daerah,negatif
@gaonindosat harvard yg di ikn,harvard ikn,negatif
@arsyamoi Wah pantesan si Hotmen Pariso mo bikin klubingan besar di IKN rupanya buat nampung PSK. #2025MakzulkanGibran #2025MakzulkanGibran ,bikin rupa,negatif
@jek___ Apa rasanya ya lg enak enak kerja eh ketempelan setan IKN,enak enak kerja tempel setan,negatif
@MafiaWasit Akan lanjut ke DKJ 1 atau IKN 1 ini?,dkj ikn,negatif
Heranya masih dukung IKN Jokowi wkakk,dukung,positif
@neVerAl0nely Rakyat menuduh mu tukang tipu .di bantah aja kalau gak menipu Contoh .tunjukin mobil eseka di mana Anda janji gak import Anda janji Indosat mau di kembalikan ke Indonesia Ikn sekarang gak jalan manggark .jelasin ke rakyat.apa mampu .anda,rakyat tuduh mu tukang tipu bantah tipu contoh mobil janji janji indonesia jalan,negatif
@DianSandiU Esemka 11T ekonomi meroket investor IKN anak gak nyalon dan terakhir ijazah...semua nya bohong hoax dan palsu,ekonomi roket investor anak bohong palsu,negatif
Pelaksanaan Proses Indetifikasi Penerbitan SIM. #polantashadir #polripresisi #korlantas #ibukotanusantara #ikn #polresppu #satlantasppu #polri ,laksana proses terbit,negatif
@UmarHasibuan__ Setuju.. kalo tentang ijazah saja Pemimpin tidak jujur apalagi ttg motif kebijakan yang dia ambil. Nanti yg terjadi adalah spt IKN dan KCIC yg tidak urgent utk rakyat yg masih rendah angka kesempatan kerja dan pendidikannya tapi tetap dipaksakan bahkan sampe bikin APBN tekor!!,tuju kalo ijazah pimpin jujur motif bijak ambil rakyat rendah angka kerja didik paksa bikin tekor,positif
@Lembayung071 @jokowi @prabowo Betul lebih baik bahas Investor asing IKN yg gak nongol padahal se NKRI sudah diyakinkan Presiden lewat Pidato antrinya Investor Asing IKN,bahas investor asing nongol presiden pidato antri investor asing,negatif
@B4ng_Hans Sekejam2annya ibu tiri tidak sekejam Ikn,kejam tiri kejam,negatif
@DedynurPalakka Ssssttttttt.. keberanian saya untuk bilang IKN itu sudah antri yg mau Invest dari negara2 asing walaupun sebenarnya dibiayai APBN karena saya dibohongi Menteri Investasi ;,berani bilang antri negara asing biaya bohong menteri investasi,negatif
@Lembayung071 @prabowo jokowi memang berkuasa semua di kendalikan oleh nya tapi hidupnya ngga akan tenang masalah akan selalu menghantui nya karena banyak kebohongan selama hidup dan menjabat seperti esemka 6000 unit uang 11.000 trilliun di kantong investor ikn ngantri dsb dsb dsb ,kuasa kendali hidup tenang hantu bohong hidup jabat unit uang kantong investor,negatif
@xquitavee @jokowi jokowi memang berkuasa semua di kendalikan oleh nya tapi hidupnya ngga akan tenang masalah akan selalu menghantui nya karena banyak kebohongan selama hidup dan menjabat seperti esemka 6000 unit uang 11.000 trilliun di kantong investor ikn ngantri dsb dsb dsb ,kuasa kendali hidup tenang hantu bohong hidup jabat unit uang kantong investor,negatif
@Sumarno12998913 @DokterTifa IKN yg untung cuma orang2 yg kalian sebut 9 naga Bonar doang rakyat mana yg untung tuh search banyak kali kena PKH makin banyak pengangguran dinegara ini,untung orang naga bonar doang rakyat untung kali kena anggur negara,negatif
@Kanseulir Real Anggaran IKN....tambah angka 1 di depan‼️,real anggar angka,negatif
rakyat nya kan lebih mau makan gratis pembangunan ikn sampe efesiensi pendidikan aoawkwkkwkw oke gas oke gas,rakyat makan gratis bangun didik oke gas oke gas,positif
@xquitavee @jokowi @KRMTRoySuryo2 @DokterTifa @SianiparRismon @balapurik @G0LIATH87 @FDonghun @jokovvl @Lembayung071 @Minietweets_ jokowi memang berkuasa semua di kendalikan oleh nya tapi hidupnya ngga akan tenang masalah akan selalu menghantui nya karena banyak kebohongan selama hidup dan menjabat seperti esemka 6000 unit uang 11.000 trilliun di kantong investor ikn ngantri dsb dsb dsb ,kuasa kendali hidup tenang hantu bohong hidup jabat unit uang kantong investor,negatif
@H4T14K4LN4L42 @jokowi @Kiyai_MarufAmin @MYusufKala1 @PDI_Perjuangan @PartaiGolkar @DPR_RI @prabowo Ngawur tanyakan dulu kpd otorita IKN apa betul para investor diberi HGU 190 th jangan bikin gaduh,investor bikin gaduh,negatif
@Sumarno12998913 @DokterTifa Lhaaa bos faktanya dg dibangunnya IKN bukan untung malah BUNTUNG bahkan sampai saat ini pun menjelang MANGKRAK. Meleek lah kalo mau menjilat biar sedikit terbuka matanya bahwasanya yg dijilat itu pantatnya burik.,bos fakta bangun untung buntung jelang kalo jilat biar buka mata jilat pantat burik,positif
@tanyakanrl Bagusnya memikirkan bagaimana Indonesia ke depannya agar lebih baik dan benar terlebih lagi ikn belum ada kepastian sama sekali,bagus pikir indonesia,positif
@denmasmister @kegblgnunfaedh Sebesar patung siluman kelelawar di IKN,patung siluman kelelawar,negatif
@mediaindonesia Berhasil 10 THN boongin rakyat Esemka ghoib investor ikn sepi katanya gak pakai apbn faktanya pakai apbn apbn defisit hutang menumpuk hukum tajman kebawah tumpul keatas dan banyak lagi,hasil rakyat investor sepi pakai fakta pakai defisit hutang tumpuk hukum tumpul,negatif
@B4ng_Hans Membangun IKN utk rakyat tp pasilitas barang bahan dll yg digunakan dr hasil yg tdk baik &amp; tdk jujur apalagi tdk dibayar itu artinya kawasan IKN tidak ada berkahnya jangan jangan hanya makian &amp; doa yg buruk didapatkan IKN dr orang orang yg ngak dibayar memalukan menyedihkan,bangun rakyat barang bahan hasil jujur bayar arti kawasan berkah maki doa buruk orang orang bayar malu sedih,negatif
@OposisiCerdas Pernah dia tanya sdh berbuat apa kau utk negeri ini Sok skl manusia satu ini Spt kau serta rezimmu sdh membuat negeri ini hebat saja Kau mkn sj itu gedung2 IKN,kau negeri sok manusia kau rezim negeri hebat kau gedung,positif
@H4T14K4LN4L42 @jokowi @Kiyai_MarufAmin @MYusufKala1 @PDI_Perjuangan @PartaiGolkar @DPR_RI @prabowo Melebihi penjajahan Hongkong oleh Inggris. Bisa2 IKN jadi negara dalam negara #NegaraNusantara,jajah inggris negara negara,negatif
@BosPurwa @jokowi IKN = Proyek mercu suara ambisi pribadi Jokowi yg direstui DPR saat itu . Ujung2nya mangkrak dan menggembosi keuangan negara,proyek mercu suara ambisi pribadi restu ujung gembos uang negara,negatif
@erickthohir rik kapan dibangun 8 stadion standar fifa di ikn?,bangun stadion standar,positif
Pembangunan IKN Nusantara wujud pemerataan dan pembangunan nasional #IKNNusantara ,bangun nusantara wujud perata bangun nasional,positif
@DianSandiU Makanya tunjukkan dan buktikan kepublik bahwa tuduhan itu salah! Kalo modal bacot semua org jg bisa ngaku2 alumni UGM walaupun kerjaannya masuk got! Penjahat merasa terzalimi itulah penjahat sesungguhnya IKN &amp; ESEMKA adalah bukti kebohongan/kejahatan !,bukti publik tuduh salah kalo modal bacot alumni kerja masuk got jahat zalim jahat sungguh bukti,negatif
@jabangtetuko007 @Boediantar4 Sumatera + Aceh jd 'negara kedaulatan baru' Kalimantan mau dianeks oleh M'sia / merdeka sendiri (IKN milik negara Kalimantan) Transmigran dari Pulau Jawa mengungsi ke luar Indonesia (waspada Pergantian Besar) terutama Suriname dan Belanda,negara daulat merdeka milik negara transmigran pulau ungsi indonesia waspada ganti utama belanda,negatif
@neVerAl0nely Emang cocok nya jadi psk itu kita bisa lihat gedung2 di ikn cocok nya buat psk ,emang cocok lihat gedung cocok,positif
@ElhassanTa1479 @ApriliaLin sini bang ke boyolali saya liatin produsen nya mobil esemka kalo mau masuk juga bisa saya ad ordal IKN mangkrak? lah om saya lagi kerja di IKN gmna tuh?,bang produsen mobil kalo masuk om kerja,negatif
@setyoprihandono @Opposisi6890 PSK transaksi dan main di semak IKN,transaksi main semak,negatif
@neVerAl0nely Buka lapangan kerja di ikn,buka lapang kerja,negatif
@H4T14K4LN4L42 @msaid_didu @jokowi @Kiyai_MarufAmin @MYusufKala1 @PDI_Perjuangan @PartaiGolkar @DPR_RI @prabowo Sok-sokan berlagak jadi pahlawan yang membebaskan Freeport... eh ujungnya menggadaikan IKN 190 hampir dua abad cukup untuk melewati 6 generasi,lagak pahlawan bebas ujung gadai abad generasi,negatif
@cobeh2022 Ketika penjahat bermain akting jadi korban Ratusan juta rakyat knatipu dan dirugikan presiden palsu dari pemilu palsu dengan syarat ijazah palsu. Byk yg panik Krn para pejabat dan produk hukum produk Jokowi bisa batal demi hukum Semua aturan merugikan rakyat batal termasuk ikn,jahat main akting korban ratus juta rakyat rugi presiden palsu milu palsu syarat ijazah palsu panik jabat produk hukum produk batal hukum atur rugi rakyat batal masuk,negatif
@ApriliaLin Yang tukang NGIBUL MULYONO MOBIL SMK 6000 unit sudah dipesan Dikantong Saya ada 11 rb trilyun Ekonomi melesat Buy back Indosat IKN mangkrak Kereta Tanpa rel di IKN mana buktinya Sudah tapi belum. Yang kaya gini masih dipercaya,tukang mobil unit pes kantong ekonomi lesat kereta rel bukti kaya gin percaya,negatif
Jokowi yg menghina kami 2 periode harusnya diadili segera sih Sgt byk kasus yg harusnya bs didelikkan mulai dri bohong produksi Esemka bohong investor IKN bohong punya setidaknya 11rb triliun dikantongnya kasus eKTP dan kaitannya dengan Aguan PIK 2. #tolakPIK2 #AdiliJokowi,hina periode adil delik bohong produksi bohong investor bohong triliun kantong kait,negatif
@NKRITetapDiHati @kusuma12197 @KRMTRoySuryo2 @DokterTifa @SianiparRismon Tukang DFK nuduh DFKmobil Esemka investor ikn ga pake dana APBN dll kurang DFK apa lagi? Tambah lagi ijazah hah ngedabrus,tukang investor dana ijazah,negatif
@V3g3L IKN: Kereta tanpa rel dikembalikan ke China. Esemka: Mobil China yang dilabeli atas nama Esemka . Sekarang sudah jadi benar2 mobil ghoib. Konoha: Lama-lama juga 'dikembalikan' ke China karena tidak bisa bayar utang. ,kereta rel mobil label nama mobil bayar utang,negatif
@DianSandiU Apa kabar Mobil Esemka...Investor IKN ....ekonomi merekot ? Masih percaya?,kabar mobil ekonomi percaya,negatif
@poepleplus62 @kegblgnunfaedh Lu jangan ngmg doang deh. Kaya orang tolol yg ada. Kalo mau ngmg kasih bukti yg konkrit. Even until now ikn aja masih berjalan. Mangkarak dr mana? Dari dasar hati kebencian lu yg busuk itu? Wkwkwkwk dasar anak abah. ,doang kaya orang tolol kalo kasih bukti until jalan dasar hati benci busuk dasar anak abah,negatif
@ariabima99 Kalo Presiden dan menteri mau pindah ke IKN ASNnya pasti mau berangkat. Gk perlu insentif. Nyatanya tidak ada apa2 di sana! Tempat hiburan? Gemerlap Ibukota? Fasilitas kesehatan pun rasa2nya belum cukup,kalo presiden menteri pindah berangkat insentif nyata hibur gemerlap fasilitas sehat,negatif
@Apriliyanurani @TribuanaWira @Dennysiregar7 @review_soc4086 @Soumokil_Will per 5tahun itu sebenernya itu recycle sdm anggap aja demokrasi yg kesempatannya terbuka buat semua insan manusia tp progress value dan goal nya ga boleh hanya semata wayang cuman monas aja jd yah udah bagus ada danantara yg diawasin sby sama jokowi itu progressive oh dan ikn,anggap demokrasi buka insan manusia wayang cuman bagus,positif
@kompascom Gua gak peduli ijazahnya pak jokowi palsu atau tidak. Dia harus bayar janji2-nya pas jadi presiden dulu harus dilunasi. macet dna banjir gampang diatasi jadi presiden Duit 11000 T di luar negeri untuk indonesia bangun 9 lap bola duit di IKN dari FIFA 1 thn kelar ,peduli ijazah palsu bayar janji pas presiden lunas macet banjir gampang presiden duit negeri indonesia bangun lap bola duit kelar,negatif
@sallyrosalina_w @bangtanochu @poepleplus62 @kegblgnunfaedh @bangtanochu @poepleplus62 @kegblgnunfaedh Berdasarkan info terkini proyek IKN tampaknya tetap berjalan. Pemerintah menyiapkan relokasi ASN pada 2025 dan menargetkan penyelesaian infrastruktur utama pada 2028. Anggaran Rp 48 8 triliun dialokasikan untuk 2025 2029. Namun ada,dasar info proyek jalan perintah relokasi target selesai infrastruktur utama anggar triliun alokasi,negatif
@bangtanochu @kegblgnunfaedh Banyak salah satunya yang bakal mangkrak adalah IKN Buka mata anda supaya tidak TOLOL ,salah buka mata tolol,negatif
Adili Jokowi : usut tuntas IKN yg sarat penipuan + korup,adil usut tuntas sarat tipu korup,negatif
@democrazymedia Ijazahmu perlu diteliti krn IKN skr MANGKRAK pas dng GIGIMU yg SERAMPANGAN,ijazah teliti pas gigi serampang,negatif
@EkoPurwanto001 Karena mereka tahu akan seperti apa dunia di hati² datang..semua bersiap kecuali IKN ,dunia hati kecuali,negatif
@democrazymedia Utk pemimpin yg tdk adil dihinakan di dunia ini mgk balasan (kecil) nanti di akhirat org2 yg pernah anda dzalimi ditipu sampe pabriknya bangkrut (al sintan) digusur (Rempang IKN Mandalika Papua) korban KM 50 akan nuntut keadilan pada Allah.,pimpin adil hina dunia balas akhirat tipu pabrik bangkrut gusur mandalika korban adil allah,negatif
